city,count
Conyers,17
Chelsea,17
Florence,17
Ocala,17
Sarasota,17
Orange,16
Stafford,16
Williamstown,16
Churubusco,16
Moreno Valley,16
Georgetown,16
Rio Linda,16
Saddle Brook,16
Beaverton,16
Lagrange,16
Astoria,16
Edgewood,15
Riverside,15
Carmel,15
North Ferrisburgh,15
Millinocket,15
Grafton,15
Atlanta,15
Kenner,15
Clawson,15
Escondido,15
Loveland,15
Benton,15
Parker,15
Prospect,15
Rochdale,14
Owosso,14
Bethpage,14
Belleville,14
Los Angeles,14
Baton Rouge,14
Mckinney,14
Reno,14
Wesley Chapel,14
Hinesville,14
Wingdale,14
Middleborough,14
Bakersfield,14
Bloomington,14
Edwardsburg,14
Tyler,13
Saint Paul,13
Vacaville,13
Tulsa,13
Palmyra,13
Santa Ana,13
Morrow,13
Chantilly,13
Taylorville,13
Midland,13
Garland,13
Fredericksburg,13
Marysville,13
Albuquerque,13
North Providence,13
Tolland,13
North Monmouth,12
Downers Grove,12
Wauregan,12
Asheboro,12
Brandon,12
Newfoundland,12
Charlottesville,12
Puyallup,12
Sheridan,12
Shelton,12
Orford,12
Chepachet,12
Saginaw,12
Shelbyville,12
Knoxville,12
Overland Park,12
Owasso,12
Paris,12
Spring Lake,12
Kissimmee,11
Waukesha,11
Forest Lake,11
Pownal,11
Little Rock,11
Billerica,11
Conroe,11
Storrs Mansfield,11
Hanson,11
Mount Juliet,11
Saint Clair,11
Ashby,11
Tempe,11
Thousand Oaks,11
Renton,11
Montgomery,11
Eliot,11
Omaha,11
Plano,11
Norman,11
Davis,10
Roxbury,10
Sanbornville,10
Hattiesburg,10
Scottsdale,10
Appleton,10
Buford,10
Addison,10
Roswell,10
Greensboro,10
Merrillville,10
Van Nuys,10
Danville,10
Mamaroneck,10
Plantation,10
Mechanicsburg,10
Sterling,10
West Bath,10
Midway City,10
Metairie,10
Culpeper,10
Port Angeles,10
Anderson,10
San Francisco,10
Grand Junction,9
Alton,9
Kenosha,9
Huntsville,9
West Chester,9
Spring,9
Kent,9
Mesa,9
Dickinson,9
Hancock,9
O'Fallon ,9
Frederick,9
Evansville,9
Beverly Hills,9
Clarksville,9
Durham,9
Lubbock,9
Pekin,9
Williamsville,9
Carrollton,9
Oakville,9
Pleasant Hill,9
Longmont,9
Wichita,9
Old Town,9
Canaan,9
Shakopee,9
Avondale,8
Cary,8
Shawnee,8
Lincolnton,8
Walnut Creek,8
Montclair,8
Kirkwood,8
Chattanooga,8
East Petersburg,8
Spanaway,8
Ripley,8
Macomb Township,8
Abilene,8
North Bergen,8
New Durham,8
Cathedral City,8
Rockford,8
Hays,8
Kearney,8
Brockport,8
Denton,8
Cocoa,8
Haines City,8
Ogden,8
Demotte,8
Waco,8
Seaside,8
Missoula,8
Ames,8
Boerne,8
Silver Spring,8
Bowdoinham,8
Doral,8
Highlands Ranch,8
Hermon,8
Cumming,7
Camillus,7
Valdosta,7
Glen Mills,7
Orland Park,7
Potsdam,7
Onalaska,7
